model,held_out_seed,test_events,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
loss_floor_only,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
loss_floor_only,44002,5,0,5,nan,0.0,0.0,0.4,nan
loss_floor_only,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
loss_floor_only,44004,12,5,7,0.5571428571428572,0.4,0.5,0.7142857142857143,0.7714285714285715
loss_floor_only,44005,14,3,11,0.48484848484848486,0.3333333333333333,0.2,0.6363636363636364,0.5757575757575757
loss_floor_only,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,1.0
loss_floor_only,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
loss_floor_only,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
loss_floor_only,44010,1,0,1,nan,0.0,0.0,1.0,nan
loss_ceiling_only,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
loss_ceiling_only,44002,5,0,5,nan,0.0,0.0,0.4,nan
loss_ceiling_only,44003,9,4,5,0.75,0.5,1.0,1.0,0.7
loss_ceiling_only,44004,12,5,7,0.7571428571428571,0.8,0.6666666666666666,0.7142857142857143,0.7142857142857142
loss_ceiling_only,44005,14,3,11,0.6515151515151515,0.6666666666666666,0.3333333333333333,0.6363636363636364,0.6666666666666666
loss_ceiling_only,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,1.0
loss_ceiling_only,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
loss_ceiling_only,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
loss_ceiling_only,44010,1,0,1,nan,0.0,0.0,1.0,nan
loss_spread_only,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
loss_spread_only,44002,5,0,5,nan,0.0,0.0,0.6,nan
loss_spread_only,44003,9,4,5,0.525,0.25,0.5,0.8,0.6500000000000001
loss_spread_only,44004,12,5,7,0.5857142857142856,0.6,0.5,0.5714285714285714,0.4857142857142857
loss_spread_only,44005,14,3,11,0.5757575757575758,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.696969696969697
loss_spread_only,44006,6,1,5,0.9,1.0,0.5,0.8,0.8
loss_spread_only,44007,5,1,4,0.875,1.0,0.5,0.75,0.75
loss_spread_only,44008,3,0,3,nan,0.0,0.0,0.6666666666666666,nan
loss_spread_only,44010,1,0,1,nan,0.0,0.0,0.0,nan
predicted_action_loss_only,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
predicted_action_loss_only,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_action_loss_only,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
predicted_action_loss_only,44004,12,5,7,0.5571428571428572,0.4,0.5,0.7142857142857143,0.7714285714285715
predicted_action_loss_only,44005,14,3,11,0.48484848484848486,0.3333333333333333,0.2,0.6363636363636364,0.5757575757575757
predicted_action_loss_only,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,1.0
predicted_action_loss_only,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
predicted_action_loss_only,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
predicted_action_loss_only,44010,1,0,1,nan,0.0,0.0,1.0,nan
loss_surface_compact,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
loss_surface_compact,44002,5,0,5,nan,0.0,0.0,0.4,nan
loss_surface_compact,44003,9,4,5,0.75,0.5,1.0,1.0,0.75
loss_surface_compact,44004,12,5,7,0.6571428571428571,0.6,0.6,0.7142857142857143,0.7142857142857142
loss_surface_compact,44005,14,3,11,0.7424242424242424,0.6666666666666666,0.5,0.8181818181818182,0.6666666666666666
loss_surface_compact,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,1.0
loss_surface_compact,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
loss_surface_compact,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
loss_surface_compact,44010,1,0,1,nan,0.0,0.0,1.0,nan
risk_stack,44001,10,1,9,0.2777777777777778,0.0,0.0,0.5555555555555556,0.0
risk_stack,44002,5,0,5,nan,0.0,0.0,0.0,nan
risk_stack,44003,9,4,5,0.5,0.0,0.0,1.0,0.1
risk_stack,44004,12,5,7,0.35714285714285715,0.0,0.0,0.7142857142857143,0.37142857142857144
risk_stack,44005,14,3,11,0.3181818181818182,0.0,0.0,0.6363636363636364,0.4242424242424242
risk_stack,44006,6,1,5,0.2,0.0,0.0,0.4,0.0
risk_stack,44007,5,1,4,0.25,0.0,0.0,0.5,0.5
risk_stack,44008,3,0,3,nan,0.0,0.0,0.6666666666666666,nan
risk_stack,44010,1,0,1,nan,0.0,0.0,0.0,nan
transient_state,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
transient_state,44002,5,0,5,nan,0.0,0.0,0.4,nan
transient_state,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
transient_state,44004,12,5,7,0.5857142857142856,0.6,0.5,0.5714285714285714,0.6571428571428571
transient_state,44005,14,3,11,0.5606060606060606,0.6666666666666666,0.25,0.45454545454545453,0.5151515151515151
transient_state,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,0.6
transient_state,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.5
transient_state,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
transient_state,44010,1,0,1,nan,0.0,0.0,1.0,nan
loss_plus_risk,44001,10,1,9,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
loss_plus_risk,44002,5,0,5,nan,0.0,0.0,0.2,nan
loss_plus_risk,44003,9,4,5,0.625,0.25,1.0,1.0,0.5
loss_plus_risk,44004,12,5,7,0.5571428571428572,0.4,0.5,0.7142857142857143,0.6285714285714286
loss_plus_risk,44005,14,3,11,0.696969696969697,0.6666666666666666,0.4,0.7272727272727273,0.6060606060606061
loss_plus_risk,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,0.8
loss_plus_risk,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
loss_plus_risk,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
loss_plus_risk,44010,1,0,1,nan,0.0,0.0,0.0,nan
loss_plus_state,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
loss_plus_state,44002,5,0,5,nan,0.0,0.0,0.4,nan
loss_plus_state,44003,9,4,5,0.75,0.5,1.0,1.0,0.7
loss_plus_state,44004,12,5,7,0.6285714285714286,0.4,0.6666666666666666,0.8571428571428571,0.6857142857142857
loss_plus_state,44005,14,3,11,0.3181818181818182,0.0,0.0,0.6363636363636364,0.4545454545454546
loss_plus_state,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,0.8
loss_plus_state,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
loss_plus_state,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
loss_plus_state,44010,1,0,1,nan,0.0,0.0,1.0,nan
compact_all_preaction,44001,10,1,9,0.4444444444444444,0.0,0.0,0.8888888888888888,0.0
compact_all_preaction,44002,5,0,5,nan,0.0,0.0,0.2,nan
compact_all_preaction,44003,9,4,5,0.625,0.25,1.0,1.0,0.5
compact_all_preaction,44004,12,5,7,0.5571428571428572,0.4,0.5,0.7142857142857143,0.6285714285714286
compact_all_preaction,44005,14,3,11,0.3181818181818182,0.0,0.0,0.6363636363636364,0.48484848484848486
compact_all_preaction,44006,6,1,5,0.8,1.0,0.3333333333333333,0.6,0.8
compact_all_preaction,44007,5,1,4,0.75,1.0,0.3333333333333333,0.5,0.75
compact_all_preaction,44008,3,0,3,nan,0.0,0.0,0.3333333333333333,nan
compact_all_preaction,44010,1,0,1,nan,0.0,0.0,0.0,nan
