model,held_out_seed,test_events,test_harmful,test_beneficial,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc
context_support_only,44001,10,1,9,0.6111111111111112,1.0,0.125,0.2222222222222222,0.5555555555555556
context_support_only,44002,5,0,5,nan,0.0,0.0,0.6,nan
context_support_only,44003,9,4,5,0.575,0.75,0.5,0.4,0.5499999999999999
context_support_only,44004,12,4,8,0.25,0.0,0.0,0.5,0.40625
context_support_only,44005,14,1,13,0.3076923076923077,0.0,0.0,0.6153846153846154,0.15384615384615385
context_support_only,44006,6,2,4,0.25,0.0,0.0,0.5,0.25
context_support_only,44007,5,2,3,0.5833333333333333,0.5,0.5,0.6666666666666666,0.33333333333333337
context_support_only,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
context_support_only,44010,1,0,1,nan,0.0,0.0,0.0,nan
action_support_only,44001,10,1,9,0.16666666666666666,0.0,0.0,0.3333333333333333,0.11111111111111116
action_support_only,44002,5,0,5,nan,0.0,0.0,0.6,nan
action_support_only,44003,9,4,5,0.475,0.75,0.42857142857142855,0.2,0.35
action_support_only,44004,12,4,8,0.3125,0.0,0.0,0.625,0.4375
action_support_only,44005,14,1,13,0.6923076923076923,1.0,0.1111111111111111,0.38461538461538464,0.9230769230769231
action_support_only,44006,6,2,4,0.375,0.0,0.0,0.75,0.375
action_support_only,44007,5,2,3,0.75,0.5,1.0,1.0,1.0
action_support_only,44008,3,1,2,0.5,0.0,0.0,1.0,0.5
action_support_only,44010,1,0,1,nan,0.0,0.0,1.0,nan
epistemic_excess_only,44001,10,1,9,0.2777777777777778,0.0,0.0,0.5555555555555556,0.2222222222222222
epistemic_excess_only,44002,5,0,5,nan,0.0,0.0,0.6,nan
epistemic_excess_only,44003,9,4,5,0.775,0.75,0.75,0.8,0.8
epistemic_excess_only,44004,12,4,8,0.3125,0.5,0.2222222222222222,0.125,0.21875
epistemic_excess_only,44005,14,1,13,0.6923076923076923,1.0,0.1111111111111111,0.38461538461538464,0.46153846153846156
epistemic_excess_only,44006,6,2,4,0.5,0.5,0.3333333333333333,0.5,0.5
epistemic_excess_only,44007,5,2,3,0.5833333333333333,0.5,0.5,0.6666666666666666,0.8333333333333334
epistemic_excess_only,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
epistemic_excess_only,44010,1,0,1,nan,0.0,0.0,0.0,nan
predicted_loss_only,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
predicted_loss_only,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_loss_only,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
predicted_loss_only,44004,12,4,8,0.625,0.5,0.5,0.75,0.875
predicted_loss_only,44005,14,1,13,0.3076923076923077,0.0,0.0,0.6153846153846154,0.6153846153846154
predicted_loss_only,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
predicted_loss_only,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
predicted_loss_only,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
predicted_loss_only,44010,1,0,1,nan,0.0,0.0,1.0,nan
context_plus_action,44001,10,1,9,0.2222222222222222,0.0,0.0,0.4444444444444444,0.11111111111111116
context_plus_action,44002,5,0,5,nan,0.0,0.0,0.6,nan
context_plus_action,44003,9,4,5,0.575,0.75,0.5,0.4,0.49999999999999994
context_plus_action,44004,12,4,8,0.375,0.25,0.2,0.5,0.28125
context_plus_action,44005,14,1,13,0.19230769230769232,0.0,0.0,0.38461538461538464,0.3846153846153846
context_plus_action,44006,6,2,4,0.75,0.5,1.0,1.0,0.5
context_plus_action,44007,5,2,3,0.5833333333333333,0.5,0.5,0.6666666666666666,0.8333333333333334
context_plus_action,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
context_plus_action,44010,1,0,1,nan,0.0,0.0,0.0,nan
context_plus_excess,44001,10,1,9,0.2222222222222222,0.0,0.0,0.4444444444444444,0.11111111111111116
context_plus_excess,44002,5,0,5,nan,0.0,0.0,0.6,nan
context_plus_excess,44003,9,4,5,0.575,0.75,0.5,0.4,0.49999999999999994
context_plus_excess,44004,12,4,8,0.375,0.25,0.2,0.5,0.21875
context_plus_excess,44005,14,1,13,0.19230769230769232,0.0,0.0,0.38461538461538464,0.3846153846153846
context_plus_excess,44006,6,2,4,0.75,0.5,1.0,1.0,0.5
context_plus_excess,44007,5,2,3,0.5833333333333333,0.5,0.5,0.6666666666666666,0.8333333333333334
context_plus_excess,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
context_plus_excess,44010,1,0,1,nan,0.0,0.0,0.0,nan
loss_plus_excess,44001,10,1,9,0.8333333333333333,1.0,0.25,0.6666666666666666,0.6666666666666667
loss_plus_excess,44002,5,0,5,nan,0.0,0.0,0.4,nan
loss_plus_excess,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
loss_plus_excess,44004,12,4,8,0.625,0.75,0.42857142857142855,0.5,0.75
loss_plus_excess,44005,14,1,13,0.19230769230769232,0.0,0.0,0.38461538461538464,0.3846153846153846
loss_plus_excess,44006,6,2,4,0.75,0.5,1.0,1.0,0.875
loss_plus_excess,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
loss_plus_excess,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
