model,held_out_seed,test_events,test_harmful,test_beneficial,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc
predicted_action_loss,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
predicted_action_loss,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_action_loss,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
predicted_action_loss,44004,12,4,8,0.625,0.5,0.5,0.75,0.875
predicted_action_loss,44005,14,1,13,0.3076923076923077,0.0,0.0,0.6153846153846154,0.6153846153846154
predicted_action_loss,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
predicted_action_loss,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
predicted_action_loss,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
predicted_action_loss,44010,1,0,1,nan,0.0,0.0,1.0,nan
predicted_loss_floor,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
predicted_loss_floor,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_loss_floor,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
predicted_loss_floor,44004,12,4,8,0.625,0.5,0.5,0.75,0.875
predicted_loss_floor,44005,14,1,13,0.3076923076923077,0.0,0.0,0.6153846153846154,0.6153846153846154
predicted_loss_floor,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
predicted_loss_floor,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
predicted_loss_floor,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
predicted_loss_floor,44010,1,0,1,nan,0.0,0.0,1.0,nan
predicted_loss_mean,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
predicted_loss_mean,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_loss_mean,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
predicted_loss_mean,44004,12,4,8,0.75,0.75,0.6,0.75,0.8125
predicted_loss_mean,44005,14,1,13,0.8076923076923077,1.0,0.16666666666666666,0.6153846153846154,0.6153846153846154
predicted_loss_mean,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
predicted_loss_mean,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
predicted_loss_mean,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
predicted_loss_mean,44010,1,0,1,nan,0.0,0.0,1.0,nan
predicted_loss_ceiling,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
predicted_loss_ceiling,44002,5,0,5,nan,0.0,0.0,0.4,nan
predicted_loss_ceiling,44003,9,4,5,0.75,0.5,1.0,1.0,0.7
predicted_loss_ceiling,44004,12,4,8,0.875,1.0,0.6666666666666666,0.75,0.78125
predicted_loss_ceiling,44005,14,1,13,0.8076923076923077,1.0,0.16666666666666666,0.6153846153846154,0.7692307692307692
predicted_loss_ceiling,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
predicted_loss_ceiling,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
predicted_loss_ceiling,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
predicted_loss_ceiling,44010,1,0,1,nan,0.0,0.0,1.0,nan
